FileIndex	FileNameLog	FileNameSAM	StartValueIndex	FunctionValue	ElapsedTime	ExitFlag	BestX_ 1	BestX_ 2	BestX_ 3	BestX_ 4	BestX_ 5	BestX_ 6	BestX_ 7	BestX_ 8	BestX_ 9	BestX_10	BestX_11	BestX_12	BestX_13	BestX_14	BestX_15	BestX_16	BestX_17	BestX_18	BestX_19	BestX_20	BestX_21	BestX_22	StartX_ 1	StartX_ 2	StartX_ 3	StartX_ 4	StartX_ 5	StartX_ 6	StartX_ 7	StartX_ 8	StartX_ 9	StartX_10	StartX_11	StartX_12	StartX_13	StartX_14	StartX_15	StartX_16	StartX_17	StartX_18	StartX_19	StartX_20	StartX_21	StartX_22
1	finalLog_goTrials_model352_startVal001_started2016-11-19-T074104	SAM_goTrials_model352_startVal001_exit1_started2016-11-19-T074104	1	867.567225001994	00:54:48.93	1	3.34089084839878	57.6102393995596	0.218371801951381	0.244140883761186	0.198173922793613	0.210583273861317	0.184091049334108	0.167002605654356	0.0441228204401161	0.0529447669231394	0.104198321954148	0.141049942045388	0.135687716830836	0.171712744867336	0.0236827212797257	60.3680233599939	0	1	-1.16648721955152e-07	0	0	-4.04023334121817e-07	5	55.4652318669103	0.217206712372531	0.248432029053783	0.20221840093991	0.218998822958094	0.185838980877961	0.174067845219346	0.0359804394788344	0.0425450174371991	0.078803060003605	0.145454729112555	0.142471909059539	0.163013030705543	0.024809816400111	78.2948300975262	0	1	-7.38213965236082e-05	0	0	-0.000126066297855276
20	finalLog_goTrials_model352_startVal020_started2016-11-19-T074953	SAM_goTrials_model352_startVal020_exit1_started2016-11-19-T074953	20	1050.42039901646	01:19:50.79	1	5.10054136900761	55.091618477855	0.220510830569881	0.267579683784752	0.21011314618689	0.237062032577003	0.186933231211647	0.174782981705963	0.0600489484765061	0.031503743320872	0.112638302511321	0.137813137489848	0.142097046902348	0.180889946252761	0.0380647125306942	113.834992059442	0	1	-1.00937338102227e-05	0	0	-0.0116361082902567	11.967453903174	54.2338799981615	0.0839501686234851	0.280761562110206	0.119782785016708	0.284081008978042	0.205031727282411	0.140126401630671	0.0704820887430786	0.0641298687477049	0.0234206553208109	0.0288401983697565	0.24833519741001	0.0807392990472557	0.0474965499396537	40.6222763930377	0	1	-0.000219831011792482	0	0	-0.0656591850839193
6	finalLog_goTrials_model352_startVal006_started2016-11-19-T074506	SAM_goTrials_model352_startVal006_exit1_started2016-11-19-T074506	6	1071.25652637074	01:13:20.72	1	0.0540003358745172	50.1782130992506	0.219926340124143	0.253791228728014	0.199794104335962	0.217289698328887	0.196203992188021	0.168066246090133	0.0329966871141982	0.0403687148556007	0.121859682203351	0.147596508555089	0.137398219030494	0.172863347606839	0.015604287040452	101.961136263337	0	1	-0.000284046199130476	0	0	-0.0486935620764486	1.68893260666061	40.2762707118805	0.253070607629907	0.222351000544972	0.146855820027061	0.149316609975336	0.157661046649027	0.211534047825711	0.0426131204307896	0.0160508031274755	0.105085974297079	0.181951175767722	0.133518174017778	0.0797764962152646	0.0254635087506605	155.217785583132	0	1	-0.00162155821661798	0	0	-0.254659339350352
15	finalLog_goTrials_model352_startVal015_started2016-11-19-T074858	SAM_goTrials_model352_startVal015_exit1_started2016-11-19-T074858	15	1143.58112183283	01:00:35.27	1	0.00300539093737034	47.8559251908608	0.207582095724746	0.234944142451105	0.194984374537119	0.205551305561776	0.175404216353861	0.152948175213121	0.0404548944467862	0.0296831335860447	0.0774831360023207	0.132127193103012	0.126888200375929	0.16345268320329	0.0212620270031591	91.9611696091697	0	1	-0.000596966324710133	0	0	-0.00251661697787398	0.159532608145786	49.4589915338209	0.350194453559589	0.31619875535396	0.111362323790129	0.133142679133641	0.134876855208651	0.249583157847903	0.0624468845798305	0.0317510085162937	0.103129776759366	0.11849250180356	0.0264941161917447	0.119398090480565	0.0437803297674084	46.7779593565416	0	1	-0.0012741612802361	0	0	-0.0794017384323853
9	finalLog_goTrials_model352_startVal009_started2016-11-19-T074514	SAM_goTrials_model352_startVal009_exit1_started2016-11-19-T074514	9	1158.62808895081	00:41:24.71	1	6.29014757921231	57.8067653942563	0.238166589508525	0.273439981174694	0.22029061735467	0.240220163827321	0.201628178247853	0.188940715673466	0.00590934285435678	0.0628355171732789	0.125832904227207	0.161975849092359	0.161580538475438	0.187782098483242	0.0174715398396669	103.65806897057	0	1	-0.000112832237013483	0	0	-0.0333578229480508	5.7077512693923	59.1865720827527	0.222522659532351	0.365369411335743	0.155651072671657	0.262349434980507	0.297190807616887	0.217790917371449	0.00853479029529251	0.0501718594394641	0.12089766969771	0.0776908686269293	0.278987379625554	0.130470788844026	0.00549126160883262	121.49802410207	0	1	-0.000223976598062335	0	0	-0.089433233270536
10	finalLog_goTrials_model352_startVal010_started2016-11-19-T074654	SAM_goTrials_model352_startVal010_exit1_started2016-11-19-T074654	10	1258.80464489924	00:54:13.80	1	2.04970828428089	46.162571464603	0.225370206651744	0.272332850397831	0.199995526449634	0.222081469825304	0.187034103016063	0.163008524797351	0.0685811058365322	0.0566249163713387	0.0904436756814089	0.133927890676472	0.123019319294467	0.166825473039489	0.0285427661172511	142.303733802592	0	1	-0.000521738266299538	0	0	-0.0100626943438936	2.76139022597839	43.62626873672	0.336026715320287	0.364738305077044	0.256806397046046	0.154967349954546	0.0950839738533653	0.104409497432803	0.0692736330749523	0.052477984456972	0.0789863621625127	0.215447400275546	0.111819218065624	0.211250088671124	0.0384282767024761	111.095108216106	0	1	-0.000709952215450298	0	0	-0.318435025250643
18	finalLog_goTrials_model352_startVal018_started2016-11-19-T074849	SAM_goTrials_model352_startVal018_exit1_started2016-11-19-T074849	18	1314.73499749177	00:56:39.03	1	0.351015529526862	44.6486885279544	0.220167794737338	0.272263604775008	0.204810409960293	0.210834349540203	0.177290155334042	0.156638589781741	0.00872202228691002	0.0274508274916065	0.105386604672028	0.121352808132746	0.11795954504314	0.147198195118591	0.0216100083632276	147.85560181699	0	1	-0.00038071155512875	0	0	-0.000597346570068491	10.1418345579563	25.3684197455301	0.134963135299039	0.151569928814998	0.0849441837164612	0.289109942015023	0.243992810002497	0.0956736837610515	0.0655456476498709	0.0659469629874416	0.106220097360941	0.180035802852461	0.117725127382307	0.2265553163521	0.0211148279833477	37.9724703672576	0	1	-0.00277071190302206	0	0	-0.616457177603279
8	finalLog_goTrials_model352_startVal008_started2016-11-19-T074500	SAM_goTrials_model352_startVal008_exit1_started2016-11-19-T074500	8	1389.06344159404	00:43:07.73	1	3.27181599368847	43.8690872827616	0.197936319865197	0.244120883376328	0.183585851038539	0.202522048990801	0.163153921459645	0.148455869051939	0.0648703979917269	0.0442596211789354	0.09962151184729	0.103737097544503	0.114891165738076	0.153612222088884	0.000752539554839893	155.516633596656	0	1	-7.68497194284659e-05	0	0	-0.0230203736666327	11.4671786459267	41.3025414522832	0.107893258973642	0.074627937965505	0.084125016950813	0.150991978829552	0.217427307441855	0.102780512085737	0.0638519607233309	0.0468171812898627	0.0725279747146803	0.217163661435131	0.168353439064841	0.193211351200477	0.00360447134064777	155.909434596049	0	1	-0.000720907350694167	0	0	-0.0464197669794054
5	finalLog_goTrials_model352_startVal005_started2016-11-19-T074252	SAM_goTrials_model352_startVal005_exit1_started2016-11-19-T074252	5	1394.52698624044	00:46:38.42	1	1.2185050925508	40.9571529165636	0.205798942273264	0.232630014645383	0.194325339217105	0.200376015173679	0.179207921328282	0.153366592696273	0.0250621594233712	0.018392836537817	0.0849482750643073	0.113465315228025	0.115493948560511	0.156482845049166	0.0196513108964087	142.949813517974	0	1	-0.000986538462935618	0	0	-2.76207491918257e-05	2.61247665279604	39.0237035592979	0.270449847250376	0.226955352920337	0.219301721646565	0.223691038610937	0.180112918029637	0.184079292865104	0.0271378450284111	0.0188879231237064	0.130870900063231	0.248392920584521	0.0697865233074264	0.0346423775191825	0.0449105215805837	54.6776755112393	0	1	-0.00199800615485624	0	0	-0.176720323977822
12	finalLog_goTrials_model352_startVal012_started2016-11-19-T074651	SAM_goTrials_model352_startVal012_exit1_started2016-11-19-T074651	12	1443.99224400519	00:45:39.48	1	9.71895149640183	63.3110588041559	0.28890643492086	0.325439617437486	0.270052625983614	0.270607244110185	0.247293614470733	0.214692721744848	0.0181234173677878	0.033342824499176	0.120456318220808	0.183890082280287	0.183524989290223	0.216211363246206	0.0460469383900588	141.457683912242	0	1	-8.61125631537955e-05	0	0	-0.0338634966233236	12.3623406718159	63.1835466625185	0.387229997992654	0.142860654258606	0.271454248627265	0.185284214698326	0.328525742915707	0.298469254786632	0.0472826160373971	0.0228963628931055	0.0582072916830468	0.217390740789358	0.191926173079246	0.278987658984848	0.0324733878972222	138.86709464387	0	1	-7.23254780807779e-06	0	0	-0.11026743444322
