model,unit,z0_1,z0_2,zc,v_1,v_2,v_3,v_4,v_5,v_6,ve_1,ve_2,ve_3,ve_4,ve_5,ve_6,eta,t0,se,si,k,wliw,wlib,wffiw
2,go,21.6719209829195,9.59302469395833,67.6287407609276,0.211792677910454,,,,,,0.139075769262251,,,,,,0.0289300126803672,32.8469364379343,0,1,-0.000846442305740503,-0.000830664576422335,0,0
2,stop,5.30601812922201,,21.8556357963245,0.452817312804388,,,,,,NaN,,,,,,0.0337478521438743,23.3677633046055,0,1,-0.000664943491425079,NaN,-0.041439320106395,0
43,go,22.8181468565198,,70.4332453498181,0.227164121821429,0.207148595929321,0.185462212018635,,,,0.105085003266847,0.125280118363943,0.14536312580994,,,,0.0275067661463824,35.242035894425,0,1,-0.000842384917040139,-0.000498122249335708,0,0
43,stop,0.0639327804368212,,12.0755882291032,0.319620707190488,,,,,,NaN,,,,,,0.0269207629557426,36.2091192238767,0,1,-0.0032991951301086,NaN,-0.508894520420574,0
79,go,21.9490140906024,10.3962315750504,68.7138936547384,0.229019520903177,0.206332840620444,0.18779145050233,,,,0.105335622165434,0.128344456451377,0.146839974927051,,,,0.0276174180943686,28.0359071015795,0,1,-0.000860022469284521,-0.000564370344003695,0,0
79,stop,0.939499428812974,,17.894789020927,0.420626275879881,,,,,,NaN,,,,,,0.041387943420903,24.2293774621316,0,1,-0.00360712400721021,NaN,-0.531189194164413,0
352,go,22.9305692406243,,69.2657743729531,0.242892851037654,0.227752765479406,0.223517233938106,0.205861411534335,0.203507004811739,0.183672108262326,0.1074850768702,0.122276353779208,0.11742603917084,0.137239574538798,0.138901925619596,0.159602697400839,0.0301147162054507,45.0070397053879,0,1,-0.00141253630086944,-1.13131821688484e-08,0,0
352,stop,3.41249480248981,,18.9847832230759,0.341613771028221,,,,,,NaN,,,,,,0.0175229794752049,13.701371192279,0,1,-0.000551111498957469,NaN,-0.318399126522526,0
478,go,22.1059219776635,10.2125576548984,68.5105277514728,0.23400947238758,0.238673998115175,0.215118171539566,0.211283433344752,0.196713939157901,0.189319446741961,0.112948896485861,0.108807637386151,0.116917940278891,0.130657264751301,0.142294699374495,0.153598544088242,0.031200251829654,34.3179923861834,0,1,-0.00124624533549679,-0.000178661957496273,0,0
478,stop,3.11138108151421,,16.259344095323,0.384548700510464,,,,,,NaN,,,,,,0.0602427359386807,27.9448299058996,0,1,-0.00329384044203482,NaN,-0.400548779646359,0
