model,unit,z0_1,z0_2,zc,v_1,v_2,v_3,v_4,v_5,v_6,ve_1,ve_2,ve_3,ve_4,ve_5,ve_6,eta,t0,se,si,k,wliw,wlib,wffiw
2,go,26.3206119723657,15.1936441320229,72.9825349830279,0.169288555912937,,,,,,0.0912734704137533,,,,,,0.0360059959303839,33.0964435964462,0,1,-3.14864435096629e-05,0,0,0
2,stop,4.28590697748988,,19.0869562992499,0.357359858827189,,,,,,NaN,,,,,,0.0284164273855043,17.8676269593113,0,1,-0.000168571879212415,0,-0.209824758938238,0
43,go,0.166124643603681,,49.7548658162805,0.155321134703048,0.135708084796594,0.115530380966525,,,,0.046926191502404,0.0618202951294515,0.0807727107253721,,,,0.00127458943926528,58.3556106046458,0,1,-0.000369876621697179,0,0,0
43,stop,12.4322374799615,,22.796472198676,0.364446446182646,,,,,,NaN,,,,,,0.0579872463169714,25.7573913460893,0,1,-2.01756676227165e-06,0,-0.578761623561513,0
79,go,20.0625149685177,1.8665536020754,58.4209908746222,0.25587456155941,0.234602796314265,0.215489859637022,,,,0.134295660010129,0.156164569429414,0.176331033744826,,,,0.00705527391497893,53.713690610963,0,1,-0.00280018936527307,0,0,0
79,stop,6.12416979762831,,20.932759177713,0.373477073492929,,,,,,NaN,,,,,,0.0290297601561415,16.9906269587526,0,1,-1.40500350338021e-06,0,-0.244392277038501,0
352,go,44.3475961260854,,90.2471651326797,0.226434565263877,0.212719869024534,0.202644987404826,0.18505627382187,0.17763464973043,0.156608861451681,0.0601504043907858,0.0755640823376709,0.0727469984774727,0.100243699677738,0.102217575894606,0.125631554813354,0.037762115647547,69.1701007224107,0,1,-7.46321882938092e-07,0,0,0
352,stop,10.3791257481967,,25.6188668214327,0.419050700329316,,,,,,NaN,,,,,,0.0620915895183284,8.72013747717983,0,1,-7.38207212628373e-05,0,-0.364955490132105,0
478,go,47.0284834858792,39.0521986029107,89.3015305207898,0.218671083855856,0.216396658421132,0.194508735111845,0.188669748820766,0.170633175416587,0.162831061009438,0.0684366533901532,0.0711400195629552,0.0792343218949731,0.09422983339268,0.108858516572726,0.119519930403431,0.0345661332891513,65.0725155453455,0,1,-1.02861291547719e-06,0,0,0
478,stop,6.95851611841732,,18.3472709106844,0.347238009991627,,,,,,NaN,,,,,,0.0395533050046317,21.9586562837543,0,1,-0.000356344636471973,0,-0.068017252081467,0
