subject,model,unit,z0_1,z0_2,zc,v_1,v_2,v_3,v_4,v_5,v_6,ve_1,ve_2,ve_3,ve_4,ve_5,ve_6,eta,t0,se,si,k,wliw,wlib,wffiw
1,2,go,25.3559509003665,5.13579061061099,67.8680082349162,0.314732365189716,,,,,,0.234726598678524,,,,,,0.0396387429204293,60.9871374595396,0,1,-0.00342285331444931,-7.3908941848333e-05,0,0
1,2,stop,7.89828299666743,,17.6960461654087,0.437616221382869,,,,,,NaN,,,,,,0.0474497568978637,24.6380455932196,0,1,-0.0056266927297143,NaN,-0.0280161108051441,0
1,43,go,24.1111104645564,,72.2103696890033,0.227475458742288,0.207994907729539,0.18750045276909,,,,0.106968567443367,0.128256696778974,0.148756975923559,,,,0.0338547239742225,36.8900196419401,0,1,-0.000803522911543169,-0.000295140673458039,0,0
1,43,stop,9.36804285905908,,25.3244245615651,0.396625187495368,,,,,,NaN,,,,,,0.0509544544174476,8.86568989836058,0,1,-0.000175276216605787,NaN,-0.457740250015327,0
1,79,go,24.5711135702753,10.5385479820861,68.8335131997675,0.229870001081063,0.207504241983645,0.18789303066838,,,,0.102086281398551,0.125885776836453,0.149295493284974,,,,0.0275663086550173,36.930376756682,0,1,-0.000810621024186822,-0.000490524679761128,0,0
1,79,stop,11.7661869790138,,28.1874188457067,0.461969521082202,,,,,,NaN,,,,,,0.0594376503188052,10.3193146793442,0,1,-0.000580582490651329,NaN,-0.506778679839111,0
1,352,go,22.4822066294817,,69.0218105106431,0.251153874335647,0.227169002281724,0.225465225813446,0.205516784402551,0.206920705215197,0.183353686251273,0.103004671321549,0.120576860555224,0.115835462369969,0.142638966322342,0.13877264171351,0.165215219394287,0.0310433900226448,47.9527142746487,0,1,-0.0013734462848446,-7.40561295842213e-07,0,0
1,352,stop,11.308516477291,,16.1828331279939,0.358916615982215,,,,,,NaN,,,,,,0.0334993548727816,15.8336083239815,0,1,-0.0058760119237158,NaN,-0.376725926385719,0
1,478,go,22.4630481292995,10.3945745076852,68.4239360805045,0.237598306628896,0.234868621811891,0.217048691990524,0.211219757090746,0.197128857879589,0.189098929148195,0.117955035559936,0.108476343302538,0.122965764695556,0.133360373394242,0.142963129249557,0.157249101644175,0.0322598158280241,35.6945980167568,0,1,-0.00121017174913865,-0.000118309879678202,0,0
1,478,stop,23.8489376244273,,32.0384899440553,0.613491108954847,,,,,,NaN,,,,,,0.0513628189290983,7.36648900232461,0,1,-0.004533787854116,NaN,-0.243631771309253,0
