subject,model,unit,z0_1,z0_2,zc,v_1,v_2,v_3,v_4,v_5,v_6,ve_1,ve_2,ve_3,ve_4,ve_5,ve_6,eta,t0,se,si,k,wliw,wlib,wffiw
1,79,go,35.2029877586272,24.9959593339598,73.7782830381082,0.278849488187397,0.265895460559997,0.245298257211156,,,,0.125154569176785,0.172483986066479,0.199028930266995,,,,0.0329275610682881,58.7539861559562,0,1,-0.000561955863261331,-0.00200368910136228,0,0
1,79,stop,8.25664965511046,,18.7448214632892,0.382977056169532,,,,,,NaN,,,,,,0.0508370655860842,13.1003683665411,0,1,-0.00340875783268591,NaN,-0.320638711532858,0
1,352,go,28.1839638985481,,69.2162310527081,0.250031883695208,0.232784296539176,0.229628240212772,0.209477680357092,0.209077584344529,0.185329118370198,0.103686362772795,0.113543763110696,0.110869180859179,0.14069681605461,0.139150321354015,0.163075437748007,0.0333668508014257,38.3500549292657,0,1,-0.00141400343673091,-1.34805349105704e-08,0,0
1,352,stop,0.696528273599384,,4.7069805395492,0.0832924267223594,,,,,,NaN,,,,,,0.0530922839607016,34.3944623581141,0,1,-0.00101349195929678,NaN,-0.314869526116989,0
1,478,go,26.3518022052755,10.5214490651239,68.3941887224036,0.236137309243619,0.242773772034442,0.220110314669652,0.217889304539991,0.197911814130765,0.192816919177571,0.112748853178036,0.10374048401045,0.114997112306637,0.126732923649436,0.141973013443236,0.152641802080785,0.0360770450656725,32.4263337970921,0,1,-0.00124588689117152,-4.50090318691587e-05,0,0
1,478,stop,2.41175241815091,,4.8161619457756,0.109933821526855,,,,,,NaN,,,,,,0.0687329316784924,39.2132155157102,0,1,-4.35440216333101e-05,NaN,-0.50039548457892,0
2,79,go,5.54642234457061,6.38520467542432,92.6437808714542,0.46923480322721,0.490409052023007,0.495261491903013,,,,0.329490887911065,0.412241087545197,0.475640045309968,,,,0.0185422154452712,42.6909436160173,0,1,-2.92368485780769e-05,-0.0112575430103131,0,0
2,79,stop,2.92736163443212,,3.30659794871877,0.0115009970565412,,,,,,NaN,,,,,,0.0506886489010248,31.6081947965945,0,1,-0.00289671880392508,NaN,-0.235203353737552,0
2,352,go,1.70121662213689,,49.4519844875731,0.24007972764817,0.275779572939966,0.231437349624558,0.264374086201879,0.218790967499875,0.224835940113755,0.0699849758344488,0.0770915865306264,0.136818482434138,0.168278447763104,0.181944966917499,0.211209553568654,0.00482129755949567,72.329960432923,0,1,-4.61665385584255e-06,-0.0626519527560958,0,0
2,352,stop,3.99832464435816,,7.0396524144861,0.142343082243042,,,,,,NaN,,,,,,0.0612161898355713,15.5502968616912,0,1,-0.00142860287298339,NaN,-0.0439043449275346,0
2,478,go,17.909020751283,10.5669250394313,51.0359546934376,0.315922965245696,0.411524780582676,0.311914406415411,0.411803300412514,0.305074108327343,0.365385549147853,0.184793106424347,0.123566079497715,0.258623641311894,0.248309490215519,0.315174321706047,0.299665753369647,0.03325048038997,107.173825706098,0,1,-0.00151489927418147,-0.0173853207291299,0,0
2,478,stop,2.11559896543578,,3.46671164670129,0.0327335065262198,,,,,,NaN,,,,,,0.0442395356478162,32.8956519713519,0,1,-0.00171612671569573,NaN,-0.165296397323129,0
