subject,model,unit,z0_1,z0_2,zc,v_1,v_2,v_3,v_4,ve_1,ve_2,ve_3,ve_4,eta,t0,se,si,k,wliw,wlib,wffiw
1,79,go,2.71878436506132,47.8897244973957,74.0025260019627,0.259294477672187,0.24973198642068,,,0.149083899662957,0.214604790715873,,,0.0137222648193013,94.8757521588559,0,1,-0.000383985920040177,0,0,-0.478619357766598
1,79,stop,21.3742009713065,,30.2430391670324,0.675195064962987,,,,NaN,,,,0.0537403564735052,30.9082723674209,0,1,-0.000271001381510158,0,-0.163643379159657,NaN
1,352,go,26.2014905464517,,100.07781381024,0.220416839744431,0.329960471167348,0.207560409054642,0.256868923006588,0.140150461485783,0.163046750050405,0.161383109676202,0.203767416549187,0.0312268452145672,19.1573557649688,0,1,-0.000123843084240432,0,0,-0.33162487774859
1,352,stop,22.8108574351778,,50.7938780396873,0.783902859559321,,,,NaN,,,,0.0218543791741936,2.42769441655264,0,1,-0.00140004096325146,0,-0.151243888849241,NaN
1,478,go,8.54080310630364,94.2860790540927,144.32990758177,0.33751222868996,0.404488574765107,0.312875460397373,0.276799784818298,0.115949518996911,0.201280527189104,0.136933310276952,0.277257271957251,0.0645384892703524,86.0900029269719,0,1,-6.20059017963073e-05,0,0,-0.150059953465288
1,478,stop,15.1597767910942,,15.8879671742077,0.122049779912187,,,,NaN,,,,0.0549388557618913,0.860990485705236,0,1,-5.39041351841144e-08,0,-0.424509076986349,NaN
3,79,go,24.2970376894675,1.57001773948796,48.3802299911094,0.288292140915474,0.234258233400825,,,0.131216329036302,0.188992196677113,,,0.0387070078355737,72.78355485821,0,1,-0.00424842408062031,0,0,-0.0063438052007867
3,79,stop,4.93865992058812,,9.79407700589028,0.111592309839617,,,,NaN,,,,0.0670436718977613,21.8852270585582,0,1,-0.00180168169199516,0,-0.380238989531871,NaN
3,352,go,8.25117087382105,,31.4321573512665,0.276815843883675,0.111471949738037,0.149209085923108,0.101079888300317,0.140345298147219,0.0163587922224324,0.105359373594408,0.0652396468340651,0.0533001118297935,137.651529597823,0,1,-2.55310193389997e-05,0,0,-0.605724534015632
3,352,stop,8.87547789399169,,13.2569162061204,0.117809381510425,,,,NaN,,,,0.062590768875824,19.7271759933716,0,1,-2.23094274831234e-05,0,-0.107672305568273,NaN
3,478,go,9.25813586540933,4.00279251514466,24.6542780669314,0.278450532419924,0.119850430121549,0.138386659195609,0.114332980464497,0.193923009837887,0.0155200261995131,0.11115673370464,0.0870044105876691,0.0320472778853722,146.707159170569,0,1,-0.00247252083516577,0,0,-0.533607698012878
3,478,stop,2.26837783546088,,6.13420365937574,0.0202859004128245,,,,NaN,,,,0.0488558766134715,25.5382006528075,0,1,-0.00165213891841441,0,-0.480334391521725,NaN
