subject,model,unit,z0_1,z0_2,zc,v_1,v_2,v_3,v_4,ve_1,ve_2,ve_3,ve_4,eta,t0,se,si,k,wliw,wlib,wffiw
1,79,go,4.25595633151323,74.0172567539185,110.751062441076,0.30266519309366,0.254803825585073,,,0.085501765713015,0.191533921026145,,,0.0365846803522283,39.2605279880824,0,1,-0.00108750743921689,0,0,0
1,79,stop,7.43320403958964,,31.7148364701818,0.643207288923715,,,,NaN,,,,0.0451774161648023,14.336066483585,0,1,-0.000146721819045148,0,-0.433114423088484,0
1,352,go,55.8779094044249,,120.945794081894,0.254295886532715,0.362301677143493,0.239451860095254,0.267738509608243,0.139630597730006,0.187545614742381,0.16452919569412,0.211724852792068,0.0310900244745963,19.0685399281193,0,1,-0.000986138965490627,0,0,0
1,352,stop,6.30387819333994,,22.8605489558496,0.465763835761726,,,,NaN,,,,0.0424052800533994,7.26322330221661,0,1,-0.00248848647321688,0,-0.279191622231505,0
1,478,go,14.9186052982141,93.3508821398891,150.381975968943,0.31128834506755,0.372335484051572,0.282117556368496,0.237121173743146,0.0689231252999755,0.159228221281374,0.105155893059369,0.236464012840896,0.0625305967500945,65.9849544006657,0,1,-1.3645877299847e-06,0,0,0
1,478,stop,12.9000912064836,,13.650685898567,0.116907778751718,,,,NaN,,,,0.0650823789812096,9.33186151422244,0,1,-1.67424949520283e-05,0,-0.476671672500046,0
3,79,go,17.8777795173232,1.25251551413002,43.6079115023054,0.198923092427949,0.134476000070789,,,0.015283369091437,0.0775707973777249,,,0.0686911206989705,112.555752282092,0,1,-0.000556302584196389,0,0,0
3,79,stop,6.92609948721946,,9.510396754961,0.117780819023771,,,,NaN,,,,0.0187152179888103,17.9540479606766,0,1,-0.00185674352638346,0,-0.0243353505684359,0
3,352,go,35.9347411666662,,77.2090486795897,0.347824642193683,0.231581334702099,0.217859448987468,0.180618025096966,0.160447386449816,0.0262821013662596,0.155691427660849,0.129751351657883,0.0832570877415971,90.7635719025119,0,1,-0.000357777998950247,0,0,0
3,352,stop,0.416882719496852,,14.2224761503646,0.148087272633096,,,,NaN,,,,0.0685241880660859,0.0252740340763205,0,1,-0.0015459936836225,0,-0.359598032358648,0
3,478,go,34.6932496115333,26.899395569765,69.6027278522085,0.418455493065538,0.333325856139856,0.308279832380614,0.286271285933227,0.239556132951955,0.115493607049587,0.260934501858352,0.223394076017289,0.0779286636493988,80.2949359542088,0,1,-0.00285966642948596,0,0,0
3,478,stop,7.72060936372826,,10.6935703388354,0.118177300431399,,,,NaN,,,,0.0748810702679783,18.810852976817,0,1,-0.00245622433111077,0,-0.289624171537669,0
