subject,model,unit,z0_1,z0_2,zc,v_1,v_2,v_3,v_4,ve_1,ve_2,ve_3,ve_4,eta,t0,se,si,k,wliw,wlib,wffiw
1,79,go,4.35098413939228,73.0604530995685,110.632469276874,0.302219402554974,0.254669857576113,,,0.0796877656977744,0.190363519789037,,,0.0348649103491211,38.3250439851423,0,1,-0.00110054798494786,0,0,0
1,79,stop,7.58958013595595,,31.1037871151153,0.639639701893846,,,,NaN,,,,0.0458572794954981,13.8918529371256,0,1,-0.000167222162827989,0,-0.459229814097153,0
1,352,go,53.9046221468096,,119.585350407437,0.254673691076163,0.368118480304612,0.238529458507895,0.266964602660901,0.142614458861389,0.149952876250727,0.167090887118767,0.209755935253075,0.0355049637451058,24.2420101186725,0,1,-0.000950693733805654,0,0,0
1,352,stop,5.15144259519565,,21.8284881141281,0.43404086671633,,,,NaN,,,,0.0433445303809486,6.97550564171991,0,1,-0.00325138424020984,0,-0.273271310841624,0
1,478,go,14.8584870558469,92.1984976836086,150.216156775013,0.30902861411174,0.381251423990641,0.282069596216482,0.236106426643935,0.0662910804768279,0.153280637056009,0.10577540234127,0.237335956833002,0.061250570078287,64.6829409734139,0,1,-4.49918198365019e-07,0,0,0
1,478,stop,13.2570813683373,,13.3829287473649,0.110428622439408,,,,NaN,,,,0.0633932116976633,9.06390468544712,0,1,-3.19852502046877e-05,0,-0.492003894756336,0
3,79,go,18.2466273570622,1.09313435466814,42.9513733559449,0.200489795115915,0.138904770914647,,,0.013910909257234,0.0769427794293634,,,0.0734585922475908,113.983092100859,0,1,-0.000547103749047601,0,0,0
3,79,stop,6.93475459451539,,8.63324050745501,0.121523880585358,,,,NaN,,,,0.0180304058666919,17.0149177543216,0,1,-0.0021205916087836,0,-0.0271599089311071,0
3,352,go,37.4289571202952,,76.2111889622378,0.345992872191992,0.223910606161236,0.218985964577327,0.185454718198885,0.152325485912997,0.0388157991923085,0.153238025888674,0.120131265490279,0.086730193778427,91.4793083787676,0,1,-0.000468296074927957,0,0,0
3,352,stop,0.3370210321148,,13.2083478624066,0.149107006293283,,,,NaN,,,,0.061842648910551,0.0237236670629431,0,1,-0.0017131833467135,0,-0.387388849934103,0
3,478,go,34.7057069244536,27.1421547075217,69.3986976647833,0.420710081445378,0.324222730185505,0.302970068989037,0.290967757724418,0.239536593836352,0.136930483599209,0.255289133477219,0.214032288885643,0.0811153239247264,79.4518623844753,0,1,-0.00290919351992721,0,0,0
3,478,stop,8.15842038442119,,10.0959323758782,0.117786814962362,,,,NaN,,,,0.0689162657289054,17.0624365319973,0,1,-0.00257238021070206,0,-0.325000827260715,0
